VisPeri-ContA	VisPeri-ContB	VisPeri-ContC	VisPeri-DefaultA	VisPeri-DefaultB	VisPeri-DefaultC	VisPeri-DorsAttnA	VisPeri-DorsAttnB	VisPeri-LimbicA	VisPeri-LimbicB	VisPeri-SalVentAttnA	VisPeri-SalVentAttnB	VisPeri-SomMotA	VisPeri-SomMotB	VisPeri-TempPar	VisPeri-VisCent
2.30919	5.866423	1.32966	0.712714	4.068924	12.228358	2.584466	1.200614	0.801755	3.357006	4.288372	2.840436	16.500471	0.32299	1.706855	20.175147
4.444845	8.545693	2.579867	7.167447	9.404467	0.109549	3.769198	0.068393	6.883942	4.38802	0.036153	3.773797	3.895014	1.670878	0.58528	8.991224
0.786501	0.99497	5.813425	4.65182	1.725689	2.734529	0.060336	2.567361	0.279275	8.480948	0.166256	3.699904	4.352355	3.283075	0.892573	3.770858
9.292058	8.822421	10.938643	9.807752	2.498742	0.008493	5.900378	6.733354	10.030298	7.42814	1.099464	16.106895	25.39366	0.719431	1.204097	0.660597
4.056246	3.35386	0.773428	2.969299	1.25234	2.833498	7.004228	3.772081	1.600349	0.528268	0.073121	5.411328	9.750161	2.221961	4.875104	11.026847
0.988557	0.028805	1.191896	0.136693	2.519098	0.361172	0.659249	0.853871	0.282864	0.09719	0.129933	1.933859	2.211025	0.009323	2.462519	9.366611
1.797404	9.746754	0.789915	0.56032	0.534031	3.36661	15.939535	4.097779	3.068427	1.131985	1.565722	3.333941	20.693361	1.549533	6.366128	12.438904
0.587624	3.41588	0.08081	1.407059	0.423805	2.779095	1.525687	1.726606	0.640317	0.590806	0.028052	0.062666	5.36369	2.065713	3.786128	6.214528
8.805575	5.648314	3.656713	6.610082	6.583176	6.575127	4.614221	4.038766	13.446785	6.368454	1.909391	7.749825	25.564592	3.472776	0.921435	9.997859
3.441998	13.385467	6.554364	2.838766	12.230136	19.473274	2.089502	0.310633	8.565357	11.969233	4.891527	4.639606	4.304479	2.587836	10.710905	0.5143
4.024953	1.721588	8.321168	5.018762	5.117895	0.809942	0.018915	1.875614	3.291463	4.449541	0.725227	4.984757	11.506172	0.571439	1.79955	1.288411
11.439454	5.534877	0.926603	0.686417	6.385749	5.910294	1.195371	0.675112	5.086314	7.863959	5.699694	7.404636	9.945379	0.412011	5.505722	6.281014
1.435868	5.325059	1.903955	2.354035	1.606147	2.95782	1.661282	1.282512	5.455449	3.390798	8.021297	3.857679	1.771784	0.177133	3.005316	0.615812
0.737886	0.110966	0.738104	4.752	11.104499	0.690729	2.69148	1.035415	0.379398	4.216211	0.641507	7.144594	6.906865	0.887351	1.052615	4.538328
